Booking_id	Customer_id	Customer_name	Car_id	Car_name	Rent_Price	Booking_Status
1	cusid	cusname	7	asdfjhb jkhgkjdf	1006.0	Pending for approval
2	cusid2	cusname2	3	Mclaren P1	19500.0	Pending for approval
3	55	qweewq	9	ves aw	1512.0	Pending for approval
4	1	ASD	108	asd asd	2265.0	Pending for approval
5	1	DSA	3	Mclaren P1	13000.0	Pending for approval
6	1	Test	6	tyfkjhg sefse	2810919.0	Pending for approval
7	1	ASD	9	ves aw	756.0	Pending for approval
8	1	ASD	7	asdfjhb jkhgkjdf	1509.0	Pending for approval
9	1	SD	8	sdfsd iugku	1869.0	Pending for approval
10	1	ASD	8	sdfsd iugku	1246.0	Pending for approval
11	1	ASDdsa	8	sdfsd iugku	3115.0	Pending for approval
12	1	ASDddsaasd	6	tyfkjhg sefse	182824.0	Pending for approval
13	1	ASDSDA	7	asdfjhb jkhgkjdf	503.0	Pending for approval
14	1	grgd	1	Ferrari 458	22500.0	Pending for approval
15	1	trhrt	108	asd asd	1510.0	Pending for approval
16	1	asd	3	Mclaren P1	6500.0	Pending for approval
17	1	asd	3	Mclaren P1	13000.0	Pending for approval
18	1	asddsa	3	Mclaren P1	19500.0	Pending for approval
19	1	asddddsa	3	Mclaren P1	650000.0	Pending for approval
20	1	asdasfgr	108	asd asd	8305.0	Pending for approval
21	1	gf	7	asdfjhb jkhgkjdf	2012.0	Pending for approval
22	1	asdfdsfeafs	7	asdfjhb jkhgkjdf	1509.0	Pending for approval
23	1	asd	2	MiniCooper Countryman	2850.0	Pending for approval
24	1	asd	8	sdfsd iugku	1246.0	Pending for approval
25	1	gdf	6	tyfkjhg sefse	68559.0	Pending for approval
26	1	asd3	4	tyg yutf	4105.0	Pending for approval
27	1	dfg	8	sdfsd iugku	1246.0	Pending for approval
28	1	fsda	8	sdfsd iugku	1246.0	Pending for approval
29	1	asd	108	asd asd	1510.0	Pending for approval
30	1	sdf	3	Mclaren P1	422500.0	Pending for approval
